Country,Data,Validity,Price
China,10240.0,30,28.0
China,20480.0,30,49.0
Colombia,1024.0,7,8.0
Colombia,2048.0,15,15.0
Colombia,3072.0,30,21.0
Colombia,5120.0,30,32.5
Costa Rica,1024.0,7,9.0
Costa Rica,2048.0,15,17.0
Costa Rica,3072.0,30,22.0
Costa Rica,5120.0,30,31.0
Côte d'Ivoire,1024.0,7,7.0
Côte d'Ivoire,2048.0,15,13.0
Côte d'Ivoire,3072.0,30,17.5
Côte d'Ivoire,5120.0,30,27.0
Croatia,1024.0,7,4.5
Croatia,2048.0,15,7.0
Croatia,3072.0,30,9.5
Croatia,5120.0,30,13.0
Croatia,10240.0,30,21.0
Croatia,20480.0,30,32.0
Cuba,1024.0,7,9.5
Curaçao,1024.0,7,9.5
Cyprus,1024.0,7,4.5
Cyprus,2048.0,15,7.0
Cyprus,3072.0,30,9.0
Cyprus,5120.0,30,12.0
Cyprus,10240.0,30,19.0
Cyprus,20480.0,30,28.0
Czech Republic,10240.0,30,22.0
Democratic Republic Of The Congo,1024.0,7,6.5
Democratic Republic Of The Congo,2048.0,15,12.0
Democratic Republic Of The Congo,3072.0,30,16.5
Democratic Republic Of The Congo,5120.0,30,25.0
Democratic Republic Of The Congo,10240.0,30,45.0
Denmark,1024.0,7,4.5
Denmark,2048.0,15,7.0
Denmark,3072.0,30,9.5
Denmark,5120.0,30,13.0
Denmark,10240.0,30,21.0
Denmark,20480.0,30,32.0
Dominica,1024.0,7,9.5
Dominican Republic,1024.0,7,9.5
Dominican Republic,2048.0,15,18.0
Dominican Republic,3072.0,30,25.0
Dominican Republic,5120.0,30,39.5
Ecuador,1024.0,7,8.0
Ecuador,2048.0,15,15.0
Ecuador,3072.0,30,21.0
Ecuador,5120.0,30,32.5
Egypt,1024.0,7,7.0
Egypt,2048.0,15,12.5
Egypt,3072.0,30,17.5
Egypt,5120.0,30,26.5
Egypt,10240.0,30,44.0
El Salvador,1024.0,7,8.0
El Salvador,2048.0,15,15.0
El Salvador,3072.0,30,21.0
El Salvador,5120.0,30,32.5
Estonia,1024.0,7,4.5
Estonia,2048.0,15,7.0
Estonia,3072.0,30,9.5
Estonia,5120.0,30,13.0
Estonia,10240.0,30,21.0
Estonia,20480.0,30,32.0
Eswatini,1024.0,7,8.0
Eswatini,2048.0,15,15.0
Eswatini,3072.0,30,21.5
Eswatini,5120.0,30,33.0
Faroe Islands,1024.0,7,4.5
Faroe Islands,2048.0,15,8.0
Faroe Islands,3072.0,30,10.0
Faroe Islands,5120.0,30,14.5
Faroe Islands,10240.0,30,24.0
Faroe Islands,20480.0,30,38.0
Fiji,1024.0,7,7.5
Fiji,2048.0,15,14.0
Fiji,3072.0,30,19.5
Fiji,5120.0,30,30.0
Finland,1024.0,7,4.5
Finland,2048.0,15,6.5
Finland,3072.0,30,8.0
Finland,5120.0,30,12.0
Finland,10240.0,30,18.0
Finland,20480.0,30,26.0
France,1024.0,7,4.5
France,2048.0,15,7.5
France,3072.0,30,10.0
France,5120.0,30,14.0
France,10240.0,30,23.0
France,20480.0,30,36.0
French Guiana,1024.0,7,4.5
French Guiana,2048.0,15,8.0
French Guiana,3072.0,30,10.5
French Guiana,5120.0,30,15.0
French Guiana,10240.0,30,25.0
French Guiana,20480.0,30,40.0
French Polynesia,1024.0,7,6.5
French Polynesia,2048.0,15,11.5
French Polynesia,3072.0,30,16.0
French Polynesia,5120.0,30,24.0
French Polynesia,10240.0,30,43.0
Gabon,1024.0,7,7.0
Gabon,2048.0,15,13.5
Gabon,3072.0,30,18.5
Gabon,5120.0,30,28.5
Gambia,1024.0,7,9.5
Gambia,2048.0,15,18.0
Georgia,1024.0,7,5.5
Georgia,2048.0,15,10.0
Georgia,3072.0,30,13.5
Georgia,5120.0,30,20.0
Georgia,10240.0,30,35.0
Germany,1024.0,7,5.0
Germany,2048.0,15,6.5
Germany,3072.0,30,10.0
Germany,5120.0,30,15.0
Germany,10240.0,30,22.5
Germany,20480.0,30,26.0
Ghana,1024.0,7,5.0
Ghana,2048.0,15,9.0
Ghana,3072.0,30,11.5
Ghana,5120.0,30,17.0
Ghana,10240.0,30,29.0
Gibraltar,1024.0,7,4.5
Gibraltar,2048.0,15,8.5
Gibraltar,3072.0,30,11.0
Gibraltar,5120.0,30,16.0
Gibraltar,10240.0,30,27.0
Greece,1024.0,7,5.0
Greece,2048.0,15,9.0
Greece,3072.0,30,12.0
Greece,5120.0,30,15.0
Greece,10240.0,30,25.0
Greece,20480.0,30,49.0
Greenland,1024.0,7,9.0
Grenada,1024.0,7,9.5
Guadeloupe,1024.0,7,4.5
Guadeloupe,2048.0,15,8.0
Guadeloupe,3072.0,30,11.0
Guadeloupe,5120.0,30,15.5
Guadeloupe,10240.0,30,26.0
Guadeloupe,20480.0,30,42.0
Guam,,4,10.0
Guam,,8,20.0
Guam,,15,35.0
Guam,,30,49.0
Guatemala,1024.0,7,6.5
Guatemala,2048.0,15,12.0
Guatemala,3072.0,30,17.0
Guatemala,5120.0,30,25.5
Guinea,1024.0,7,9.0
Guinea,2048.0,15,18.5
Guinea,3072.0,30,26.5
Guinea-Bissau,1024.0,7,8.0
Guinea-Bissau,2048.0,15,18.0
Guyana,1024.0,7,8.0
Guyana,2048.0,15,15.0
Guyana,3072.0,30,21.5
Guyana,5120.0,30,33.0
Haiti,1024.0,7,9.5
Honduras,1024.0,7,7.0
Honduras,2048.0,15,13.0
Honduras,3072.0,30,18.0
Honduras,5120.0,30,27.5
Hong Kong,1024.0,7,4.5
Hong Kong,2048.0,15,7.0
Hong Kong,3072.0,30,8.5
Hong Kong,5120.0,30,12.0
Hong Kong,10240.0,30,19.0
Hungary,1024.0,7,4.5
Hungary,2048.0,15,7.5
Hungary,3072.0,30,9.5
Hungary,5120.0,30,13.5
Hungary,10240.0,30,22.0
Hungary,20480.0,30,36.0
Iceland,1024.0,7,4.5
Iceland,2048.0,15,7.5
Iceland,3072.0,30,10.0
Iceland,5120.0,30,14.0
Iceland,10240.0,30,23.0
Iceland,20480.0,30,36.0
India,1024.0,7,4.5
India,2048.0,15,8.0
India,3072.0,30,10.5
India,5120.0,30,15.0
India,10240.0,30,25.0
India,20480.0,30,40.0
Indonesia,1024.0,7,5.5
Indonesia,2048.0,15,8.0
Indonesia,3072.0,30,11.0
Indonesia,5120.0,30,16.5
Indonesia,10240.0,30,24.75
Indonesia,20480.0,30,40.0
Iran (Islamic Republic of),1024.0,7,9.5
Iraq,1024.0,7,5.0
Iraq,2048.0,15,9.0
Iraq,3072.0,30,12.0
Iraq,5120.0,30,17.5
Iraq,10240.0,30,30.0
